#docid,title,description,type,status,expected_coverage,node_order
"RQT_SSY_MMI-CHANNEL-NB_0005_v1","5.2.1 Channel","test","shall","also","be","supported","if","there","is","a","channel","with","channel","number","0.","|5",,,,,"|6",,,,,"|7",,,,,"|8",,,,,"|9",,,,,,"|10",,,,,"|11","DEFINED",,,,"|12",,,,,"|13","DigiTurk",,,,"|14",,,,,"|15",,,,,"|16",,,,,"|17",,,,,"|18",,,,,"|19",,,,,,"|20","X",,,,"|21",,,,,"|22",,,,,"|23",,,,,"|24",,,,,"|25",,,,,"|26",,,,,"|27",,,,,"|28","X",,,,"|29",,,,,"|30",,,,,"|31",,,,,"|32",,,,,"|33",,,,,"|34",,,,,"|35",,,,,"|36",,,,,"|37",,,,,"|38",,,,,"|39",,,,,,"|40",,,,,"|41",,,,,"|42","X",,,,"|43",,,,,"|44",,,,,"|45",,,,,"|46",,,,,"|47",,,,,"|48",,,,,"|49",,,,,"|50","X""",1,"F",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RQT_SSY_MMI-EVENT-NAME_0001_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_MMI-EVENT-NAME_0002_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_MMI-EVENT-NAME_0003_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_MMI-EVENT-NAME_0004_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_MMI-EVENT-NAME_0005_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_MMI-EVENT-NAME_0006_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_MMI-BANNER_0001_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_MMI-BANNER_0002_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_MMI-BANNER_0003_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_MMI-BANNER_0004_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_EPG-SCALED-VID_0001_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_EPG-SCALED-VID_0002_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_EPG-SCALED-VID_0003_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_EPG-SCALED-VID_0004_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_EPG-SCALED-VID_0005_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_DATE_0001_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_DATE_0002_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_DATE_0003_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_DATE_0004_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_TAG_0001_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0002_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0003_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0004_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0005_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0006_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0007_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0008_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_TAG_0009_v1","5.2.8 Remote","test",1,"F",3,2
"RQT_SSY_TAG_0010_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_TAG_0011_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_TAG_0012_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_TAG_0013_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_TAG_0014_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_TAG_0015_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_TAG_0016_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_TAG_0017_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_TAG_0018_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_TAG_0019_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_TAG_0020_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_TAG_0021_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_TAG_0022_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_TAG_0023_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_TAG_0024_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_TAG_0025_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_TAG_0026_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_TAG_0027_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_TAG_0028_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_PVR_0090_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_ADVERT_0001_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_ADVERT_0002_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_ADVERT_0003_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_ADVERT_0004_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_ADVERT_0005_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_ADVERT_0006_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_EPG-NAV_0001_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_EPG-NAV_0002_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_EPG-NAV_0003_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_EPG-NAV_0004_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0028_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-MAIL_0001_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0001_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0002_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0003_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0004_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0005_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0006_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0007_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_FAV-CHL_0008_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_CHL_FILT_0001_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_CHL_FILT_0002_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_CHL_FILT_0003_v1","3.1 req3","test",1,"F",3,2
"RQT_SSY_CHL_FILT_0004_v1","3.1.1 req4","test",1,"F",3,2
"RQT_SSY_CHL_FILT_0005_v1","3.2 req5","test",1,"F",3,2
"RQT_SSY_MUSIC_CHL_0001_v1","3.2.1 req6","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0001_v1","3.3 req7","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0002_v1","3.4 req8","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0003_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0004_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0005_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0006_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0007_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0008_v1","5.1 req10","test",1,"F",3,2
"RQT_SSY_EPG-LIST_0009_v1","5.3 req11","test",1,"F",3,2
"RQT_SSY_EPG-THEME_0001_v1","5.4 req12","test",1,"F",3,2
"RQT_SSY_EPG-THEME_0002_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_EPG-THEME_0003_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_EPG-THEME_0004_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_EPG-THEME_0005_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_EPG-RECOM-EVT_0001_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_EPG-RECOM-EVT_0002_v1","2.1 req15","test",1,"F",3,2
"RQT_SSY_EPG-RECOM-EVT_0003_v1","2.1 req15","test",1,"F",3,2
"RQT_SSY_EPG-RECOM-EVT_0004_v1","2.2 req16","test",1,"F",3,2
"RQT_SSY_EPG-RECOM-EVT_0005_v1","2.3 req17","test",1,"F",3,2
"RQT_SSY_EPG-RECOM-EVT_0006_v1","2.4 req18","test",1,"F",3,2
"RQT_SSY_REC_0001_v1","2.5 req19","test",1,"F",3,2
"RQT_SSY_REC_0002_v1","2.6 req20","test",1,"F",3,2
"RQT_SSY_REC-EVT_0001_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0002_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0003_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0004_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0005_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0006_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0007_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0008_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0009_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0010_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0011_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0012_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0013_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0014_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_REC-EVT_0015_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-EVT_0016_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-EVT_0017_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-EVT_0018_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-EVT_0019_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-EVT_0020_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-TIMER_0001_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-TIMER_0002_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-TIMER_0003_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_REC-TIMER_0004_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_CONFLITMNGT_0001_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_CONFLITMNGT_0002_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0001_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0002_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0003_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0004_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0005_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0006_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0007_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_SERIES_0008_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_SERIES_0009_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_SERIES_0010_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_SERIES_0011_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_SERIES_0012_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_SERIES_0013_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_SERIES_0014_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0007_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0008_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_REMOTE-REC_0001_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_EPG_0010_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_EPG_0011_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_EPG_0012_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_EPG_0013_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_TIMESHARED-CHNL_0001_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_INSTALL-OMODE_0001_v1"," 5.2.3 Event ","test",1,"F",3,2
"RQT_SSY_INSTALL-OMODE_0002_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_INSTALL-OMODE_0003_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_INSTALL-OMODE_0004_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_INSTALL-OMODE_0005_v1","5.2.4 Banner","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0001_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0002_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0001_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0002_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0003_v1","5.2.5 Video","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0004_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0005_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0006_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0007_v1","5.2.6  Info","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0008_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0009_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0010_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0011_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0012_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0013_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0014_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0015_v1","5.2.7  Icon","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0016_v1","5.2.8 Remote","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0017_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0018_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0019_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0020_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0021_v1","5.2.9 Series","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0022_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0023_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0024_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0025_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0026_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0027_v1","5.2.10 Based","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0028_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0029_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0030_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0031_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0032_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0033_v1","5.2.11 List ","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0034_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0035_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0036_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0037_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0038_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0039_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0040_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0041_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0042_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0043_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0044_v1","5.2.12 Conflicts","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0045_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0046_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0047_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0048_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0049_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0050_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0051_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0052_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0053_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0054_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0055_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_MMI-PUSHVOD_0056_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0003_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0004_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0005_v1","3.1 req3","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0006_v1","3.1.1 req4","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0007_v1","3.2 req5","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0008_v1","3.2.1 req6","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0009_v1","3.3 req7","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0010_v1","3.4 req8","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0011_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0012_v1","4.1 req9","test",1,"F",3,2
